Alanine	1.46	-50	-50
Alanine	3.76	-50	-50
Ethanol	1.17	-50	-50
Glucose	3.517	-50	-50
Glucose	3.533	-50	-50
Glycine	3.549	-50	-50
Histidine	7.085	-50	-50
Histidine	7.86	-50	-50
Isoleucine	0.99	-50	-50
Isoleucine	0.927	-50	-50
Isoleucine	3.66	-50	-50
Lactate	1.32	-50	-50
Lactate	4.1	-50	-50
Leucine	0.956	-50	-50
Leucine	0.944	-50	-50
Phenylalanine	7.32	-50	-50
TSP	0	-50	-50
Tyrosine	7.18	-50	-50
Tyrosine	6.88	-50	-50
Valine	1.03	-50	-50
Valine	0.976	-50	-50
Valine	3.598	-50	-50
